,% difference,area,new price,old price,price difference,property area,rooms,type,zip code
100,-4 %,115 m²,4.595.000,4.395.000,-200.000,0 m²,4, Ejerlejlighed,2450 København SV
101,-32 %,169 m²,3.695.000,2.500.000,-1.195.000,737 m²,5, Villa,2500 Valby
102,-5 %,235 m²,9.995.000,9.495.000,-500.000,687 m²,7, Villa,2500 Valby
103,-4 %,144 m²,4.999.000,4.799.000,-200.000,680 m²,7, Villalejlighed,2500 Valby
104,-15 %,120 m²,1.998.000,1.698.000,-300.000,0 m²,4, Villa,2500 Valby
105,-4 %,160 m²,6.798.000,6.498.000,-300.000,776 m²,6, Villalejlighed,2500 Valby
106,-4 %,139 m²,3.495.000,3.350.000,-145.000,709 m²,6, Villa,2600 Glostrup
107,-4 %,121 m²,2.695.000,2.595.000,-100.000,0 m²,5, Ejerlejlighed,2605 Brøndby
108,-13 %,102 m²,2.295.000,1.995.000,-300.000,636 m²,4, Villa,2610 Rødovre
109,-4 %,140 m²,3.645.000,3.495.000,-150.000,759 m²,5, Villa,2610 Rødovre
110,-6 %,92 m²,3.195.000,2.995.000,-200.000,742 m²,4, Villalejlighed,2610 Rødovre
111,-9 %,100 m²,3.495.000,3.195.000,-300.000,1.126 m²,4, Villa,2610 Rødovre
112,-5 %,93 m²,3.695.000,3.495.000,-200.000,617 m²,4, Villa,2610 Rødovre
113,-6 %,92 m²,3.195.000,2.995.000,-200.000,220 m²,3, Rækkehus,2610 Rødovre
114,-8 %,94 m²,3.795.000,3.495.000,-300.000,765 m²,4, Villa,2610 Rødovre
115,-1 %,130 m²,3.065.000,3.049.000,-16.000,156 m²,5, Rækkehus,2620 Albertslund
116,-3 %,104 m²,2.995.000,2.895.000,-100.000,700 m²,3, Villa,2620 Albertslund
117,-2 %,108 m²,2.525.000,2.475.000,-50.000,130 m²,4, Rækkehus,2620 Albertslund
118,-4 %,152 m²,4.495.000,4.295.000,-200.000,750 m²,6, Villa,2625 Vallensbæk
119,-1 %,159 m²,3.745.000,3.695.000,-50.000,823 m²,5, Villa,2630 Taastrup
120,-3 %,134 m²,3.395.000,3.295.000,-100.000,857 m²,5, Villa,2630 Taastrup
121,-4 %,97 m²,2.650.000,2.550.000,-100.000,734 m²,3, Villa,2630 Taastrup
