CarName;HK;KM;KmPerLiter;KMT;Price;Year
VW Golf VII 1.6 TD...SG BMT 5d;105;92.0;25.6;10.7;194900;2015
Toyota Yaris 1.0 V... Touch 5d;69;103.0;20.8;0;75900;2014
Renault Kadjar 1.5...10 Zen 5d;110;5.0;26.3;11.9;254900;2017
Opel Corsa 1.6 GSi 5d;150;123.0;12.7;8.1;64800;2008
Opel Corsa 1.6 GSi 5d;150;123.0;12.7;8.1;64800;2008
Mercedes C200 2.2 ...car BE 5d;136;167.0;20.8;9.6;207000;2014
Toyota Yaris 1.0 V... Touch 5d;69;97.0;20.8;0;77900;2014
Skoda Octavia 1.6 ...enLine 5d;105;118.0;26.3;11.4;99900;2011
Peugeot 208 1.6 Bl...Active 5d;100;24.0;33.3;10.7;109500;2016
Peugeot 208 1.2 e0...Allure 5d;110;2.0;22.2;9.6;199000;2015
Suzuki Alto 1.0 GL...Aircon 5d;68;146.0;22.7;14.00;34900;2011
Mercedes C250 1.8 ...ut. BE 4d;204;83.0;15.6;7.2;0;2012
Suzuki Baleno 1.2 ...omfort 5d;90;0.0;23.8;12.3;134900;2018
Mercedes E220 d 2....e aut. 4d;194;26.0;25.6;7.3;599900;2017
BMW 320d 2.0 Touri...ut. ED 5d;163;29.0;23.3;8.2;304800;2015
Ford Transit Custo... Ambiente;105;9.0;16.7;0;419900;2016
Opel Insignia 2.0 ...ST eco 5d;160;192.0;19.6;9.9;99900;2010
Peugeot 308 1.6 HD... Tour+ 5d;92;72.0;23.8;12.4;89900;2012
Ford Focus 1.5 SCT...r aut. 5d;150;26.0;16.4;8.8;299800;2016
Renault Megane IV ...30 Zen 5d;130;7.0;18.9;10.6;199900;2016
Seat Ibiza 1.0 TSi... Style 5d;95;0.0;23.8;10.4;157900;2017
Nissan X0Trail 1.6... Visia 5d;163;0.0;16.1;9.7;295970;2018
BMW 318d 2.0 Tou0 5d;143;116.0;22.2;9.2;254500;2013
Ford Transit 300S ...DCi 85 5d;85;167.0;0;0;179900;2009
BMW 320d 2.0 Gran ...urismo 5d;184;81.0;20.4;8.00;297000;2013
Saab 903 1.8 t Lin...tCombi 5d;150;83.0;13.2;10.2;134900;2010
Mercedes CLA200 1.6 SB 5d;156;18.0;17.2;8.8;359900;2016
Suzuki Vitara 1.6 ...e aut. 5d;120;1.0;18.2;12.00;237900;2018
Skoda Octavia 1.6 ...egance 5d;105;85.0;26.3;10.8;167000;2015
Chevrolet Tacuma 1.6 SX 5d;105;85.0;12.5;11.8;23900;2009
Kia Picanto 1.0 St...o Clim 5d;69;57.0;24.4;14.4;69900;2014
Kia Picanto 1.0 St...o Clim 5d;69;57.0;24.4;14.4;69900;2014
Mitsubishi ASX 1.6...Invite 5d;117;0.0;17.5;11.5;219900;2017
Nissan Note 1.2 Vi...a City 5d;80;25.0;21.3;13.7;119800;2016
Ford Fiesta 1.0 SC...tanium 5d;125;8.0;23.3;9.4;149900;2017
VW Passat 2.0 TDi ...ne BMT 4d;140;207.0;21.7;9.8;134900;2012
VW The Beetle 1.6 ...Design 2d;105;111.0;22.2;11.5;154900;2012
Seat Mii 1.0 60 St...le eco 5d;60;83.0;24.4;14.4;59700;2012
Mini Clubman Coope... D 112 5d;112;79.0;25.6;10.2;164900;2012
Audi Q7 3.0 TDi qu.... 7prs 5d;233;170.0;9.6;9.1;234900;2006
Suzuki Vitara 1.6 ...lusive 5d;120;23.0;25;11.5;222000;2017
Volvo V60 1.6 T4 1...mentum 5d;180;88.0;16.9;8.5;279700;2015
Peugeot 208 1.2 VT...Active 5d;82;35.0;22.2;12.2;104900;2015
Citroxebn C3 1.2 ... Sport 5d;110;2.0;21.7;10.4;149900;2017
Renault Espace 1.6...en EDC 5d;160;19.0;21.7;9.7;429900;2016
Ford Focus 1.6 TDC...st.car 5d;115;139.0;23.8;11.00;127800;2012
Toyota C0HR 1.2 T ...IC MDS 5d;116;8.0;16.9;11.1;329900;2017
VW Golf VII 1.6 TD...ariant 5d;110;81.0;30.3;11.00;179900;2015
Hyundai i40 1.6 GD...CW ISG 5d;135;31.0;16.7;11.6;169900;2012
Audi Q5 3.0 TDi 25... S0tr. 5d;258;99.0;16.9;5.9;599900;2015
Opel Insignia 2.0 ...ST eco 5d;140;130.0;25.6;11.00;169900;2014
Kia Venga 1.4 CVVT...Active 5d;90;45.0;17.9;12.9;106900;2014
BMW X1 2.0 sDrive2...d aut. 5d;184;105.0;20;7.9;299900;2013
Audi A6 2.0 TDi 17... Avant 5d;177;108.0;20;9.00;319800;2014
Mercedes E200 2.2 ...ut. BE 5d;136;326.0;16.4;11.1;189900;2011
Ford Fiesta 1.0 SC...tanium 5d;125;2.0;23.3;9.4;184800;2017
Skoda Octavia 1.4 ...ce DSG 5d;140;54.0;20;8.5;229900;2015
Nissan Micra 1.2 D...Acenta 5d;98;5.0;23.3;11.3;119800;2017
Kia Ceed 1.6 GDi S...lim SW 5d;135;8.0;16.9;10.2;199900;2015
Citroxebn Grand C...e aut. 5d;150;57.0;22.2;10.2;242000;2014
Ford S0MAX 2.0 TDC... Trend 5d;140;171.0;17.5;10.2;142900;2011
Renault Clio IV 1....imited 5d;90;12.0;31.3;12.1;144900;2016
Audi A6 2.0 TDi 17...ltitr. 5d;177;59.0;19.6;8.5;369900;2014
Smart Fortwo Cabri... Pulse 3d;45;63.0;30.3;19.8;79900;2008
Opel Insignia 2.0 ...ST eco 5d;140;116.0;25.6;11.00;179800;2014
Daewoo Evanda 2.0 CDX 4d;131;145.0;11.4;10.7;14800;2003
Chevrolet Cruze 2....125 LS 4d;125;117.0;18.2;10.3;79900;2009
Hyundai i10 1.1 Classic 5d;70;63.0;21.3;15.2;39900;2012
Hyundai i30 1.4 CV...ol ISG 5d;109;101.0;17.2;11.6;79900;2011
Peugeot 208 1.6 Bl...dition 5d;100;1.0;33.3;10.7;139990;2017
Ford Focus 1.5 TDC...st.car 5d;120;12.0;26.3;10.7;209900;2017
Citroxebn C4 2.0 ...upxe9 3d;180;42.0;11.9;8.3;79900;2005
BMW 120d 2.0 Cabriolet 2d;177;265.0;19.6;8.1;179900;2009
Mercedes E350 3.0 ...r aut. 5d;252;132.0;17.5;6.9;549900;2014
Skoda Octavia 2.0 ...bi DSG 5d;184;138.0;20;8.3;289900;2014
Volvo V70 2.0 D3 1...inetic 5d;136;213.0;22.2;10.6;199900;2013
Nissan Qashqai 1.6... X0tr. 5d;130;39.0;21.7;10.7;259800;2015
Peugeot 508 1.6 HD...ive SW 5d;114;55.0;22.7;11.3;189900;2014
Ferrari 488 Spider....9 DCT 2d;670;14.0;8.8;3.00;0;2015
Hyundai i30 1.6 CR...ar DCT 5d;110;6.0;23.3;11.5;249700;2017
Mazda CX03 2.0 Sky...ptimum 5d;120;16.0;16.9;9.00;239900;2015
BMW 118d 2.0  5d;143;186.0;22.2;9.00;99900;2008
Fiat 500C 1.4 by DIESEL 2d;100;61.0;16.4;10.5;99900;2011
Nissan Qashqai 1.2... Visia 5d;115;7.0;17.9;10.6;214900;2018
Ford Focus 1.5 TDC...st.car 5d;120;12.0;26.3;10.7;209900;2017
Honda Civic 1.8 i0... Sport 5d;142;74.0;16.4;9.7;144900;2012
Honda Civic 1.8 i0... Sport 5d;142;74.0;16.4;9.7;144900;2012
Suzuki Baleno 1.2 ...lusive 5d;90;0.0;23.8;12.3;158900;2018
Mitsubishi Lancer ...Evo IX 4d;280;33.0;9.5;5.7;349800;2007
Audi Q5 2.0 TFSi 2...Tiptr. 5d;225;100.0;12.7;7.1;549900;2014
Toyota Avensis 1.8... T2 TS 5d;147;6.0;16.1;9.7;249900;2015
Suzuki Swift 1.2 D... Style 5d;90;45.0;23.3;12.3;112900;2014
Audi A4 2.0 TDi 15...ltitr. 5d;150;120.0;20.4;9.5;252000;2013
Peugeot 308 1.2 e0... Style 5d;130;6.0;21.7;9.6;209900;2016
Mercedes C220 d 2....9 aut. 2d;170;22.0;24.4;7.5;459900;2016
Nissan Qashqai 1.5...Acenta 5d;110;10.0;26.3;12.4;234700;2017
Audi A4 2.0 TDi 14... Avant 5d;143;145.0;21.3;9.5;239900;2012
Ford Mondeo 2.0 TD...st.car 5d;140;155.0;21.7;9.8;154800;2014
Mazda 2 1.5 Sky0G ...ptimum 5d;115;2.0;20.4;8.7;189900;2017
Mazda 6 2.2 Sky0D ...st.car 5d;150;47.0;23.8;9.3;239700;2015
Opel Insignia 2.0 ...ST eco 5d;130;117.0;22.2;11.6;144900;2013
Opel Corsa 1.0 12V Enjoy 3d;60;87.0;17.9;18.2;59900;2010
BMW M3 4.0 Coupxe9 DKG 2d;420;45.0;8.9;4.6;749800;2012
Suzuki Ignis 1.2 D...Active 5d;90;0.0;21.7;12.2;146900;2018
Skoda Octavia 2.0 ... Combi 5d;140;91.0;20.4;9.7;179800;2012
Kia Niro 1.6 GDi P...rt DCT 5d;141;0.0;0;0;288900;2018
Peugeot 208 1.2 VT...Active 5d;82;72.0;22.2;12.2;79900;2013
Peugeot 308 1.6 Bl...ted SW 5d;120;35.0;31.3;10.1;199900;2016
VW Golf VII 1.6 TD...nt BMT 5d;105;92.0;25.6;11.00;179900;2014
Mazda CX05 2.0 Sky...Vision 5d;165;97.0;16.7;9.2;229900;2013
Renault Grand Scen...M 7prs 5d;130;154.0;22.7;10.5;149900;2014
Nissan Qashqai 1.6... Tekna 5d;130;61.0;22.7;10.5;264900;2015
Ford Focus 1.0 SCT...st.car 5d;125;6.0;20.8;11.2;259900;2017
Peugeot 308 1.2 e0... Style 5d;130;13.0;21.7;9.6;209800;2016
Mercedes CLS350 3....C aut. 4d;258;17.0;18.5;6.6;749900;2015
Mercedes CLS350 3....C aut. 4d;258;17.0;18.5;6.6;749900;2015
Peugeot 308 1.6 HD...omfort 5d;90;160.0;22.2;11.5;39900;2008
Volvo XC60 2.0 D4 ...Summum 5d;190;48.0;22.2;8.1;479900;2015
Mercedes GLK220 2....t. 40M 5d;170;35.0;16.4;8.8;549900;2015
Toyota Aygo 1.4 D ...omfort 5d;54;159.0;24.4;16.8;24000;2006
Ford Focus 1.0 SCT...st.car 5d;125;2.0;20.8;11.2;214800;2017
VW Passat 1.8 TSi ...ndline 4d;160;92.0;14.5;8.5;179900;2011
VW Golf VII 1.6 TD...ar BMT 5d;110;16.0;26.3;10.5;228800;2017
Skoda Octavia 1.2 ...egance 5d;105;29.0;20.4;10.3;179900;2014
BMW 530d 3.0 Touri...g aut. 5d;245;143.0;15.9;6.4;419900;2012
Ford Mondeo 1.8 11...st.car 5d;110;278.0;13;11.5;22900;2006
